benchmark,variant,device,dtype,pde_type,pde_steps,batch_size,hidden_size,num_heads,seq_len,iters,warmup,latency_ms_mean,latency_ms_p50,latency_ms_p95,peak_mem_bytes_mean,peak_mem_bytes_p95
block,baseline,cuda,bf16,diffusion,0,1,512,8,512,20,5,0.3127808034420013,0.30873601138591766,0.34350078999996186,21166080.0,21166080.0
block,transformer+pde,cuda,bf16,diffusion,4,1,512,8,512,20,5,0.7250431984663009,0.7229440212249756,0.742911982536316,22154240.0,22154240.0
block,baseline,cuda,bf16,diffusion,0,1,512,8,1024,20,5,0.3129344001412392,0.3123199939727783,0.3240447908639908,30720000.0,30720000.0
block,transformer+pde,cuda,bf16,diffusion,4,1,512,8,1024,20,5,0.7128063917160035,0.7106559872627258,0.7264767855405807,30720000.0,30720000.0
block,baseline,cuda,bf16,diffusion,0,1,512,8,2048,20,5,0.37990400195121765,0.37939199805259705,0.3871231973171234,33569792.0,33569792.0
block,transformer+pde,cuda,bf16,diffusion,4,1,512,8,2048,20,5,0.7044607996940613,0.7034879922866821,0.715366417169571,41036800.0,41036800.0
block,baseline,cuda,bf16,diffusion,0,1,512,8,4096,20,5,0.6235647946596146,0.6072319746017456,0.638822388648987,50347008.0,50347008.0
block,transformer+pde,cuda,bf16,diffusion,4,1,512,8,4096,20,5,0.9895424038171768,0.9881600141525269,0.9987071752548218,66198528.0,66198528.0
block,baseline,cuda,bf16,diffusion,0,1,512,8,8192,20,5,1.3232127964496612,1.3219839930534363,1.3290495812892913,82983936.0,82983936.0
block,transformer+pde,cuda,bf16,diffusion,4,1,512,8,8192,20,5,2.207488012313843,2.191872000694275,2.2136832594871523,116530176.0,116530176.0
block,baseline,cuda,bf16,diffusion,0,1,512,8,16384,20,5,4.086169648170471,4.108287811279297,4.1147390604019165,150092800.0,150092800.0
block,transformer+pde,cuda,bf16,diffusion,4,1,512,8,16384,20,5,5.7162751913070675,5.687808036804199,5.789081573486328,217201664.0,217201664.0
