benchmark,device,dtype,pde_type,pde_steps,batch_size,hidden_size,seq_len,iters,warmup,latency_ms_mean,latency_ms_p50,latency_ms_p95,peak_mem_bytes_mean,peak_mem_bytes_p95
pde_step,cuda,bf16,diffusion,1,1,512,512,30,10,0.13748906701803207,0.12851200252771378,0.14801920130848883,4184576.0,4184576.0
pde_step,cuda,bf16,diffusion,2,1,512,512,30,10,0.21333333402872084,0.21196800470352173,0.22323200106620789,5755904.0,5755904.0
pde_step,cuda,bf16,diffusion,4,1,512,512,30,10,0.3769685337940852,0.36608000099658966,0.39377919584512705,5756928.0,5756928.0
pde_step,cuda,bf16,diffusion,1,1,512,1024,30,10,0.12697599877913793,0.12492799758911133,0.13368319645524024,8378880.0,8378880.0
pde_step,cuda,bf16,diffusion,2,1,512,1024,30,10,0.304332801202933,0.21094399690628052,0.2957312010228631,11523072.0,11523072.0
pde_step,cuda,bf16,diffusion,4,1,512,1024,30,10,0.3694933354854584,0.36608000099658966,0.39459840208292,11524096.0,11524096.0
pde_step,cuda,bf16,diffusion,1,1,512,2048,30,10,0.12591786533594132,0.12441599741578102,0.13209599256515503,16767488.0,16767488.0
pde_step,cuda,bf16,diffusion,2,1,512,2048,30,10,0.22012586643298468,0.2088959962129593,0.2281472027301788,23071744.0,23071744.0
pde_step,cuda,bf16,diffusion,4,1,512,2048,30,10,0.36611413260300957,0.36556801199913025,0.37068799138069153,23072768.0,23072768.0
pde_step,cuda,bf16,diffusion,1,1,512,4096,30,10,0.12769279951850573,0.12595200538635254,0.13368319645524024,33544704.0,33544704.0
pde_step,cuda,bf16,diffusion,2,1,512,4096,30,10,0.21445973416169484,0.21196800470352173,0.23091200366616246,46126080.0,46126080.0
pde_step,cuda,bf16,diffusion,4,1,512,4096,30,10,0.3802453339099884,0.3701760023832321,0.37887999415397644,46127104.0,46127104.0
pde_step,cuda,bf16,diffusion,1,1,512,8192,30,10,0.1974272017677625,0.19660800695419312,0.20474879816174504,67103232.0,67103232.0
pde_step,cuda,bf16,diffusion,2,1,512,8192,30,10,0.3921237339576085,0.3911679983139038,0.3948031961917877,92275712.0,92275712.0
pde_step,cuda,bf16,diffusion,4,1,512,8192,30,10,0.7885482629140218,0.7884799838066101,0.7933439880609512,92276736.0,92276736.0
pde_step,cuda,bf16,diffusion,1,1,512,16384,30,10,0.35976533194382987,0.35737600922584534,0.3620351985096931,134218240.0,134218240.0
pde_step,cuda,bf16,diffusion,2,1,512,16384,30,10,0.7238656083742777,0.7229440212249756,0.7342079877853394,184550400.0,184550400.0
pde_step,cuda,bf16,diffusion,4,1,512,16384,30,10,1.501525330543518,1.5006719827651978,1.509376049041748,184551424.0,184551424.0
